Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
35780,883861,7106175,9122016,23104337,27214255,36217752,45357125,59281814,68506470,77558127,
34805,871638,1872875,14117893,18103480,32206492,41174095,50337754,59379313,68502177,82558947,
34791,6117943,7231452,9111105,18100787,27237218,36242041,50365901,59355918,68512579,77596669,
34791,950813,7012462,9083347,23092575,32269153,41210841,50302616,59373068,73517045,77603506,
35584,870685,2012752,9145026,18147541,27223212,41233658,50384990,59343547,68553516,77578010,
34754,871832,7051456,9071708,18150877,32212740,36216969,45421533,59416130,68527861,82528469,
34812,6140430,1933454,9115897,23086917,27199820,41222811,50311354,59326677,68530211,77611273,
35864,910036,7116098,14099555,18128642,32272864,36226570,50303842,59372265,68476454,77581217,
34785,871464,1856849,9105228,18111068,27180529,41227724,50358498,59340357,68534779,77567818,
34917,6063690,7222317,9071857,18157242,32241986,41214625,45401357,54395344,68542455,82594477,
34836,997395,6986275,9113012,23089134,27199778,36211206,50303098,59351380,68487072,77623960,
35505,870297,1991288,9080479,18159565,32250970,41229934,50394981,59371766,68494219,77548888,
34961,870854,7067463,9135635,18112146,27206232,36296557,50312539,59364209,68503042,77617055,
34845,6166884,1921436,14109557,23110470,32268472,41172117,50323896,59355576,73541908,82582782,
35770,946562,7149425,9100303,18113222,27224495,41231665,45368472,59336318,68562501,77600039,
34870,870172,1832555,9083320,18148511,32236678,36285151,50310871,59374088,68482848,77591782,
34772,870935,7271734,9137266,23088525,27214317,41149735,50360636,59332151,68536089,82549208,
34854,6158259,7014588,9061431,18175589,32235043,41247824,50343576,59376892,68473771,77592019,
35668,902321,1966583,9117744,18113236,27222098,36298203,45322892,59321344,68577008,77625998,
34880,870762,7118876,14094394,23096770,32219544,41131701,50357864,59345981,68555151,77641883,
34934,6090184,1893072,9105212,18120140,27210126,36259292,50343222,59358226,68483691,82580020,
35593,987087,7189031,9096608,18141996,27266505,41208170,50368163,54459391,68529102,77609927,
34861,870846,7003202,9101688,18123374,32221174,41221529,50298944,59276654,73486571,77644736,
34722,870197,2029721,9071455,23132841,27252783,36232120,45388109,59389084,68534791,77568341,
34928,6130829,7016356,9159747,18113812,32226145,41224486,50308285,59310886,68564330,82543046,
35769,947482,1948736,14091785,18133223,27245530,36228377,50372448,59357079,68522553,77654450,
34843,885416,7113583,9113110,23109918,32225807,41225745,50332225,59322455,68545083,77593369,
34908,870872,1865575,9094360,18130745,27199900,41217360,50379061,59366436,68551398,77578646,
3750530,6145080,7219862,9145835,18110352,32231305,36216188,45368316,59327955,68532033,82572455,
35050,900382,7041063,9072680,23119544,27196099,41235389,50298912,59371299,68517655,77602591,
34869,870617,2010559,9119438,18130957,32216969,36228311,50353337,59294571,68484447,77628339,
34699,6061423,6997492,14100168,18119265,27249021,41217556,50352333,59360452,68530930,77634204,
34875,987895,1930408,9101624,23106196,32226033,41217489,45384240,59339537,73576615,82598588,
34827,870361,7168216,9097471,18160055,27238074,36246115,50362500,59371584,68552854,77632428,
35578,870427,1848109,9113568,18111629,32232257,41179773,50341626,54373973,68517539,77627031,
34832,6117964,7214740,9068727,18119924,27237675,36263248,50376425,59397508,68537026,82544622,
34930,944282,6993629,9154891,23131585,32222328,41214262,50330821,59353697,68494156,77587401,
35702,870159,1986213,14109162,18121221,27245108,41181452,45368456,59309698,68576533,77631943,
34987,870994,7063888,9105146,18125332,32218397,36267180,50409281,59357663,68538856,77616895,
34986,6134863,1910235,9088446,23135317,27207424,41167753,50314228,59359500,68511404,82541668,
35896,906463,7189194,9143090,18092645,27252136,41225240,50337369,59370392,68557476,77598619,
34827,870315,1825757,9070328,18108889,32240618,36252707,45342479,59363253,73506279,77636489,
34888,6076737,7255108,9111921,23107878,27231229,41183515,50356868,59353000,68486700,77547750,
35709,1033393,7007976,14096668,18147579,32275055,36234593,50310323,59377860,68548047,82554474,
34924,870088,1969874,9111809,18122577,27235451,41208180,50368663,59340996,68504662,77625298,
34718,871096,7108207,9095273,23122208,32250883,41218744,50337635,59388638,68532015,77583157,
35916,6063896,1924828,9109418,18112694,27190586,36243617,45364366,54367386,68539202,77550300,
34848,949934,7154445,9064487,18124075,32239114,41218075,50342017,59354130,68489329,82553331,
34742,871043,6993450,9146629,18152485,27175179,36226820,50331669,59348117,68522164,77595340,
34768,870131,2027506,14087245,23102352,32269319,41238928,50370318,59348590,68463411,77598772,
34883,6135027,7027888,9113643,18127437,27207071,41210315,50341502,59313223,68506290,77568316,
35345,923048,1948590,9094037,18108941,32244673,36220575,45338850,59365925,73567216,82560921,
34821,871174,7127689,9113473,23140074,27214797,41229758,50338459,59332713,68509862,77589059,
34907,6030955,1866833,9071283,18110138,32250445,36280980,50315233,59329226,68525768,77600712,
34901,1000403,7204237,9118568,18137577,27208918,41216282,50357729,59334665,68504621,77616060,
35638,870303,7047615,14069990,23111826,32210910,41218308,45405504,59345776,68514363,82590924,
34931,870201,2006009,9129873,18140401,27224939,36274732,50320183,59332177,68533319,77600822,
34793,6107870,7046689,9092241,18117413,32227472,41174614,50371346,59388380,68540759,77583845,
35799,959286,1918177,9105077,23139016,27197884,41249118,50298710,59340559,68502627,77664479,
34938,871139,7173859,9079458,18149202,27239438,36245338,50376162,54389145,68509436,82552517,
34829,870017,1839274,9127553,18123296,32201255,41174035,45347300,59369925,68500270,77629879,
34886,6104500,7234144,14089912,18161606,27240506,36259326,50350358,59353850,73534417,77661605,
35543,914981,6981808,9126164,23058202,32271176,41216393,50293509,59313470,68553074,82520494,
34766,871112,1982519,9098610,18114160,27228371,41216356,50299950,59381435,68526891,77580601,
34806,870126,7124022,9094330,18163493,32225880,36249474,45375540,59316069,68538478,77673697,
35932,6217013,1895613,9088929,23102256,27189666,41211354,50352492,59359126,68555505,77567848,
34919,870772,7198348,9112251,18100340,32256816,36227436,50363632,59325869,68551626,82541584,
34731,869230,7020980,14084795,18142013,27170949,41237927,50337685,59359453,68523916,77655545,
34815,6105522,2036698,9124893,23069042,32246272,41214358,50387191,59381424,68453419,77597061,
