Run 1 Latency M[256],Run 2 Latency M[6400],Run 3 Latency M[12800],Run 4 Latency M[25600],Run 5 Latency M[51200],Run 6 Latency M[76800],Run 7 Latency M[102400],Run 8 Latency M[128000],Run 9 Latency M[153600],Run 10 Latency M[179200],Run 11 Latency M[204800],
42066,1102187,2389324,9199910,22703933,27464444,41023159,50256359,59327375,68585351,77744782,
41873,1134859,6764902,13592081,18273905,31919397,36591739,50185910,59260442,68576894,82064682,
42035,1133617,6771909,9200098,18292904,27489877,40959878,45886483,59311970,72957888,77750794,
42051,5499940,2363854,9233517,18310254,31954730,40989618,50186961,59287825,68561156,77778664,
41926,1123104,6760680,9192452,22689341,27527215,36567522,50175279,59351404,68585766,77712015,
41810,1124695,2390625,9203198,18335631,31904380,41005118,50277192,59292605,68602273,82109488,
42167,5511769,6782312,9197185,18299051,27479657,36603463,45796620,59379153,68603145,77717311,
42021,1161425,2388975,13589781,22691714,31948639,40973847,50225178,59255204,68554374,77764905,
42009,1141103,6747020,9201516,18280955,27480174,40978282,50177980,59344321,68569596,77738468,
41975,1163404,6760395,9194918,18309416,27498023,36625614,50235370,59284028,68604179,82100853,
42123,5514170,2384749,9198160,22722855,31904361,40959278,50219217,59316982,68589683,77779436,
41801,1116668,6775649,9224905,18290697,27520740,36596014,45830427,59312345,68581091,77751380,
42219,1133072,2392951,9197091,18334192,31905293,40996163,50239442,54952490,72941659,77735220,
3755387,1109872,6769374,13587756,22707499,27503101,40989267,50210967,59313515,68555483,82124666,
43843,5508316,2413744,9201155,18284271,31927051,36618728,50201110,59308989,68611329,77782389,
42620,1137379,6778460,9229225,18298171,27543078,41002845,50189978,59289595,68607232,77741442,
42601,1125796,6767346,9198978,18346367,31885824,36558300,45792421,59304363,68549109,77691855,
43280,5511897,2398413,9185151,22699389,27491342,41006822,50228709,59307521,68600701,82145422,
43739,1170147,6778314,9191216,18323210,31945947,40995379,50188594,59317205,68568421,77777229,
41741,1128731,2392616,13580118,18308589,27505868,36589622,50226680,59283741,68622244,77754490,
44907,1113806,6763988,9199340,22693167,31900137,40993166,45806114,59301398,68630736,77788432,
42472,5489856,6761704,9201396,18277876,27494962,36584165,50228702,59303015,68514797,82158159,
42173,1155919,2387259,9202925,18334940,31955898,40980641,50231455,59339389,72947614,77761162,
42463,1133214,6760298,9242503,22690958,27535849,41005553,50166010,59281864,68586227,77789034,
42009,1096169,2377682,9198768,18334971,31918880,36609727,50229964,54908506,68602211,82127685,
41784,5489426,6781664,13579354,18299706,27504314,40972932,45812727,59289890,68632149,77734497,
41958,1158120,2388511,9219075,22710084,31942690,40979974,50262139,59310391,68613956,77809352,
46925,1124151,6758066,9233602,18280556,27495344,36605876,50184850,59277827,68583548,77737187,
45286,5478676,6774010,9199508,18321947,27488629,40972820,50226031,59320623,68608433,82102218,
46037,1117923,2369534,9197190,18317926,31859970,36609524,45813630,59271801,68599634,77772625,
42205,1162934,6756021,9207118,22713143,27520783,40948998,50193953,59305295,68605594,77764117,
41890,1116860,2400656,13584236,18294181,31932473,40985826,50252502,59274560,72934900,77795726,
41831,5485445,6782048,9209249,18309488,27498158,36625939,50201550,59300926,68581801,82163374,
42111,1099414,2388593,9208927,22701956,31888525,40981075,50233798,59306413,68636499,77793576,
41938,1158763,6746807,9197058,18305401,27546830,36568002,45873133,59301564,68602644,77761106,
41925,1103554,6757714,9236159,18306981,31933236,40963771,50215744,59309204,68593704,77748948,
41835,5483397,2375849,9209312,22726808,27498036,41012576,50234704,59340351,68601948,82143122,
42287,1116676,6779500,13581978,18295740,31916934,36586271,50175545,54898921,68606059,77764264,
41897,1150831,2417671,9207031,18303269,27525918,40970565,50239237,59294479,68633721,77759614,
42041,5515389,6762149,9232133,22714695,31910474,36582335,45838320,59311982,68589633,77777335,
41879,1112811,2395968,9202288,18302476,27495758,40974708,50235972,59317295,68580906,82090989,
42098,1130987,6776588,9196600,18286670,31924289,40967337,50203802,59325167,72949945,77775258,
41774,1156879,6763179,9196139,18334666,27545074,36624108,50195380,59318259,68611651,77765498,
